rollout/exploration_rate,Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/episodes,time/time_elapsed,Total_Lane_Changes,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.7386600000000002,0.0,11,824.9784995933992,10757,271,962,1.0,2,9.692085038344747,9.692085038344747,9.989695271505107,132.50058456757074,-14.62539501,39.72,2664,0.1314624696969986,0.005
0.7386449999999998,,11,,10757,272,962,,,,,,,-14.580612159999998,39.72,,,
0.7377600000000002,8.111131096477907,11,202.15897919903034,10817,272,967,152.0,2,12.538192370379964,12.538192370379964,15.173293622959346,128.73497550384857,-14.580612159999998,39.72,2679,0.05998827889561653,0.005
0.7371749999999999,0.0,11,91.97423420996074,10856,273,971,3.0,2,9.499338016076461,9.499338016076461,9.797813326865143,159.0380525739065,-14.684125779999997,40.04,2688,0.1704397201538086,0.005
0.7370700000000003,0.0,11,250.63104745639995,10863,274,971,9.0,2,17.990288543198137,17.990288543198137,18.20126099117155,268.26625693561533,-14.730855309999999,40.17,2690,0.11049109697341919,0.005
0.7361700000000002,253.40519254674973,11,837.2607815962267,10923,275,977,3.0,2,8.960194267454597,8.018304964342393,8.018304964342393,0.0,-14.598875609999999,39.95,2705,0.19004112482070923,0.005
0.7361549999999998,,11,,10923,276,977,,,,,,,-14.800088239999996,40.23,,,
0.7358550000000004,11.51841784303408,11,359.2887616849221,10944,276,978,42.0,2,12.321113019942395,12.278299869800929,12.491435146347044,209.75596565753432,-14.800088239999996,40.23,2710,0.13051994144916534,0.005
0.7352549999999998,0.0,11,18.89971251545319,10984,277,982,3.0,2,7.972867348475593,7.972867348475593,7.497992520983292,673.2672119811307,-14.728189959999998,40.14,2720,0.12264108657836914,0.005
0.7347899999999996,0.0,11,325.529918717444,11015,278,985,86.0,2,13.373587920310941,13.373587920310941,13.674785984542964,171.6948746689414,-14.610389109999998,40.03,2728,0.10526338964700699,0.005
0.7338899999999996,0.0,11,781.4642704813438,11075,279,990,3.0,1,16.298338816979694,16.298338816979694,15.954750943455707,327.4416295925555,-14.61067111,39.76,2743,0.1722368597984314,0.005
0.733875,,11,,11075,280,990,,,,,,,-14.611545329999998,40.25,,,
0.7335900000000002,0.0,11,236.20312800851528,11095,280,992,55.0,2,13.129294651133026,13.129294651133026,13.317050262836537,304.92359352876093,-14.611545329999998,40.25,2748,0.12062610685825348,0.005
0.7335149999999997,0.0,11,287.02446831162064,11100,281,993,1.0,1,28.614786444869257,28.614786444869257,28.550012088199423,296.357024444403,-14.58083563,40.25,2749,0.2357688546180725,0.005
0.7331099999999997,0.0,11,204.74266528431204,11127,282,995,59.0,2,17.691988770053992,17.691988770053992,17.562260937856195,379.1652708922732,-13.965486499999997,39.7,2756,0.18633222579956055,0.005
0.7322100000000005,0.0,11,561.2958397736124,11187,283,1001,3.0,1,15.081857347236545,15.081857347236545,17.113001320229404,255.77994579131678,-14.008831109999996,39.37,2771,0.09211263060569763,0.005
0.7321949999999999,,11,,11187,284,1001,,,,,,,-13.653726769999999,39.37,,,
0.7315199999999997,0.0,11,156.62095233851656,11233,284,1005,126.0,2,10.261480115657823,10.261480115657823,10.7718195440717,188.9803718095897,-13.653726769999999,39.37,2783,0.10460250079631805,0.005
0.7306199999999996,213.0890689631251,11,638.2768515292532,11293,285,1010,3.0,2,8.414757022796401,7.454091355416887,7.454091355416887,0.0,-13.67146694,39.23,2798,0.16015885770320892,0.005
0.7297200000000004,3.4932634256250017,11,230.27004719052155,11353,286,1015,118.0,2,11.708283547397857,11.692534929899832,11.2606216228984,539.7772068118242,-13.683520860000003,39.52,2813,0.3579806983470917,0.005
0.7288200000000004,0.0,11,1013.9734111573532,11413,287,1021,3.0,2,7.924115979576568,7.924115979576568,8.160503018103894,136.66006123357943,-13.820036940000001,39.87,2828,0.10887264460325241,0.005
0.7288049999999999,,11,,11413,288,1021,,,,,,,-13.58045347,39.89,,,
0.7279200000000003,0.0,11,456.6560358571862,11473,288,1026,168.0,1,19.038108974945892,19.038108974945892,18.8717428047987,261.7376170297406,-13.58045347,39.89,2843,0.059469886124134064,0.005
0.7270200000000002,75.83518874507809,11,949.8143198872829,11533,289,1032,3.0,2,8.459455295915681,7.500673728054039,7.500673728054039,0.0,-13.47952284,39.89,2858,0.05116596072912216,0.005
0.7261200000000001,1.2431998154930834,11,201.1919306089963,11593,290,1037,178.0,2,11.733381257267073,11.717663526646392,11.289878761269268,561.1475051083842,-13.44025426,40.05,2873,0.2422717958688736,0.005
0.7256099999999996,24.013150361417047,11,495.9713523568731,11627,291,1040,3.0,2,10.373102734304917,9.166274061909299,9.166274061909299,0.0,-13.573533719999999,40.21,2881,0.10690412670373917,0.005
0.725595,,11,,11627,292,1040,,,,,,,-13.60477189,40.1,,,
0.7251449999999996,0.7504109487942827,11,242.15026830081231,11658,292,1043,77.0,2,12.727639174534096,12.689925778521733,12.984048693002137,209.78254984771988,-13.60477189,40.1,2889,0.04458184540271759,0.005
0.7244549999999997,60.88274789506022,11,126.04467491703122,11704,293,1047,3.0,2,8.50387573899204,7.532765707169847,7.532765707169847,0.0,-13.364726769999999,39.81,2900,0.08292723447084427,0.005
0.7239000000000004,1.6021775761857953,11,196.9430424262887,11741,294,1050,106.0,2,12.544607845791669,12.519052318638451,12.88393608504026,228.68762359161386,-13.276986240000001,39.67,2910,0.12412400543689728,0.005
0.7231050000000001,0.0,11,201.5640097877806,11794,295,1055,3.0,2,9.563609542724246,9.563609542724246,8.9624919007196,779.1514425073609,-13.367389110000001,39.82,2923,0.11307351291179657,0.005
0.7230899999999996,,11,,11794,296,1055,,,,,,,-13.163384600000002,39.92,,,
0.7225650000000003,0.0,11,201.82570692232872,11830,296,1058,58.0,2,19.42643116629813,19.42643116629813,19.249107146480195,403.6094400736345,-13.163384600000002,39.92,2932,0.08032141625881195,0.005
0.7221900000000003,0.0,11,98.61594461339507,11855,297,1061,3.0,2,9.258787341286752,9.258787341286752,9.559388290991013,258.35537529033684,-12.99396901,40.0,2938,0.1806524097919464,0.005
0.7212900000000003,0.0,11,292.9870815692665,11915,298,1066,171.0,2,10.481255517423346,10.481255517423346,10.011757201347363,523.5061609397734,-12.744331110000001,39.65,2953,0.18232296407222748,0.005
0.7209150000000004,0.0,11,553.2656355803923,11940,299,1068,2.0,2,9.524511964793737,9.524511964793737,9.823794593346005,87.98153256886746,-12.691623840000002,39.65,2959,0.16121286153793335,0.005
0.7208999999999999,,11,,11940,300,1068,,,,,,,-12.86706095,39.83,,,
0.7207950000000003,0.0,11,320.3796192063071,11948,300,1069,15.0,2,21.672493303832308,21.672493303832308,21.764445398802113,268.74865327667754,-12.86706095,39.83,2961,0.08193674683570862,0.005
0.7206450000000001,0.0,11,262.4228425826184,11958,301,1070,2.0,2,8.213792770343064,8.213792770343064,8.446504435316381,251.2946156629106,-12.701727660000001,39.5,2964,0.0509059876203537,0.005
0.7201649999999996,0.0,11,252.3170279844946,11990,302,1073,81.0,2,14.980149832184857,14.980149832184857,15.262626626711896,232.34037711261365,-12.650534700000001,39.38,2972,0.09208934754133224,0.005
0.7195649999999998,0.0,11,235.07712756009903,12030,303,1076,3.0,2,7.54550405727222,7.54550405727222,8.49339415226003,10.665123587553126,-12.606902679999997,39.43,2982,0.0663602352142334,0.005
0.7195500000000002,,11,,12030,304,1076,,,,,,,-12.366599650000001,39.44,,,
0.7186649999999998,0.0,11,364.62428270094074,12090,304,1082,171.0,2,12.053472312623667,12.053472312623667,11.612201787208864,462.6770199203839,-12.366599650000001,39.44,2997,0.08325111865997314,0.005
0.7177949999999997,0.0,11,374.095906256636,12148,305,1087,3.0,2,7.971564267984045,7.971564267984045,7.496663430628728,745.78778614427,-12.559464569999998,39.44,3011,0.1657564640045166,0.005
0.7168949999999996,40.410505935805745,11,551.1717116112405,12208,306,1092,179.0,2,11.409745095395214,11.03535951137579,11.16112755013977,117.89033155466161,-12.92058237,39.93,3026,0.10568006336688995,0.005
